stock name,remained balance,profit rate,,,,,,,,,,
9888.HK,2234125.9760960005,1.234125976,,,,,,,,,,
1928.HK,1815960.3799999997,0.81596038,,,,,,,,,,
2899.HK,1723309.0599999998,0.72330906,,,,,,,,,,
1088.HK,1536532.2799999998,0.53653228,,,,,,,,,,
0316.HK,1515111.7999999998,0.5151118,,,,,,,,,,
0883.HK,1471129.32,0.47112932,,,,,,,,,,
6862.HK,1419050.47,0.41905047,,,,,,,,,,
0981.HK,1418599.05,0.41859905,,,,,,,,,,
0005.HK,1415055.0000000002,0.415055,,,,,,,,,,
0027.HK,1361701.45,0.36170145,,,,,,,,,,
0857.HK,1355282.5299999998,0.35528253,,,,,,,,,,
9999.HK,1350730.3000000005,0.3507303,,,,,,,,,,
9961.HK,1302511.5999999996,0.3025116,,,,,,,,,,
1099.HK,1291429.0299999996,0.29142903,,,,,,,,,,
1929.HK,1243648.9999999998,0.243649,,,,,,,,,,
9988.HK,1223922.85,0.22392285,,,,,,,,,,
0688.HK,1220232.2,0.2202322,,,,,,,,,,
0941.HK,1215533.8499999999,0.21553385,,,,,,,,,,
0386.HK,1197326.5300000005,0.19732653,,,,,,,,,,
0762.HK,1164929.8400000003,0.16492984,,,,,,,,,,
3692.HK,1143337.0200000005,0.14333702,,,,,,,,,,
2020.HK,1118102.7500000002,0.11810275,,,,,,,,,,
2628.HK,1110229.4800000002,0.11022948,,,,,,,,,,
2318.HK,1091915.9999999998,0.091916,,,,,,,,,,
3988.HK,1041560.6500000001,0.04156065,,,,,,,,,,
0939.HK,1030715.8999999996,0.0307159,,,,,,,,,,
9633.HK,1029795.4000000005,0.0297954,,,,,,,,,,
0291.HK,1006365.8499999997,0.00636585,,,,,,,,,,
2388.HK,1004278.0999999999,0.0042781,,,,,,,,,,
0992.HK,978861.9100000004,-0.02113809,,,,,,,,,,
0267.HK,975185.0800000001,-0.02481492,,,,,,,,,,
1398.HK,956647.7799999999,-0.04335222,,,,,,,,,,
0322.HK,915182.1400000001,-0.08481786,,,,,,,,,,
1211.HK,913243.1999999997,-0.0867568,,,,,,,,,,
1113.HK,889623.4999999998,-0.1103765,,,,,,,,,,
0016.HK,882192.4500000001,-0.11780755,,,,,,,,,,
1209.HK,878051.0499999999,-0.12194895,,,,,,,,,,
1109.HK,867295.4500000001,-0.13270455,,,,,,,,,,
1093.HK,854824.94,-0.14517506,,,,,,,,,,
1876.HK,851383.5000000001,-0.1486165,,,,,,,,,,
0001.HK,849941.65,-0.15005835,,,,,,,,,,
1177.HK,833102.83,-0.16689717,,,,,,,,,,
0836.HK,828118.81,-0.17188119,,,,,,,,,,
0011.HK,792444.0999999999,-0.2075559,,,,,,,,,,
0288.HK,783517.26,-0.21648274,,,,,,,,,,
1378.HK,779795.3900000002,-0.22020461,,,,,,,,,,
6690.HK,779719.75,-0.22028025,,,,,,,,,,
1299.HK,772465,-0.227535,,,,,,,,,,
0006.HK,765172,-0.234828,,,,,,,,,,
0002.HK,743042.6000000001,-0.2569574,,,,,,,,,,
1997.HK,739677.4999999998,-0.2603225,,,,,,,,,,
0066.HK,735582,-0.264418,,,,,,,,,,
1038.HK,727885.3,-0.2721147,,,,,,,,,,
0968.HK,721020.0900000001,-0.27897991,,,,,,,,,,
6618.HK,689837.7999999999,-0.3101622,,,,,,,,,,
1044.HK,655787.5000000001,-0.3442125,,,,,,,,,,
0101.HK,649563.2,-0.3504368,,,,,,,,,,
0012.HK,641822.9999999999,-0.358177,,,,,,,,,,
2331.HK,641738.7500000005,-0.35826125,,,,,,,,,,
0388.HK,637434.8,-0.3625652,,,,,,,,,,
2319.HK,636851.7999999999,-0.3631482,,,,,,,,,,
0700.HK,632281.6000000001,-0.3677184,,,,,,,,,,
0241.HK,626888.7000000001,-0.3731113,,,,,,,,,,
0868.HK,613657.3499999999,-0.38634265,,,,,,,,,,
1810.HK,570215.7100000001,-0.42978429,,,,,,,,,,
0823.HK,558415.25,-0.44158475,,,,,,,,,,
2269.HK,532263.3999999999,-0.4677366,,,,,,,,,,
0017.HK,527128.2999999999,-0.4728717,,,,,,,,,,
0003.HK,521389.1600000002,-0.47861084,,,,,,,,,,
0669.HK,516278.9,-0.4837211,,,,,,,,,,
3968.HK,514429.69999999995,-0.4855703,,,,,,,,,,
3690.HK,489121.9,-0.5108781,,,,,,,,,,
2688.HK,466564.89999999997,-0.5334351,,,,,,,,,,
9618.HK,464540.10000000003,-0.5354599,,,,,,,,,,
0960.HK,453750.4999999997,-0.5462495,,,,,,,,,,
2313.HK,445910.4999999999,-0.5540895,,,,,,,,,,
0175.HK,392578.99,-0.60742101,,,,,,,,,,
0881.HK,337504.8499999999,-0.66249515,,,,,,,,,,
2382.HK,311660,-0.68834,,,,,,,,,,
6098.HK,166121.72999999998,-0.83387827,,,,,,,,,,
